id,url,name,description,type,address,city,zipCode,latitude,longitude,price,bedrooms,bathrooms,area,amenities,telephone,image,pets
l3z1hsd,https://www.apartments.com/eagle-rock-apartments-at-carle-place-carle-place-ny/l3z1hsd/,Eagle Rock Apartments at Carle Place,"Spacious living awaits in a studio, one, or two bedroom apartment home at Eagle Rock Apartments at Carle Place. Situated on a quiet, tree-lined street in Carle Place, New York, our community offers a peaceful retreat from the busy city life. Each of our homes boasts newly remodeled kitchens, warm hardwood flooring, and upgraded bathrooms! Kick up your feet and make yourself at home. This is an apartment community where you can relax and unwind.",ApartmentComplex,401 E Jericho Tpke,Carle Place,11514,40.7553,-73.62291,"$1,810-$4,092",Studio - 2 bd,1 ba,553 - 900 sq ft,"Laundry Room,On Site Management,High Speed Internet Access Available,Wall Air Conditioners,Studio, One & Two Bedrooms",+1-516-656-7497,['https://images1.apartments.com/i2/HpbjILMNd-BWCO2wdeAwGYrwpcH4ozhOZ5l_F3QHUFg/110/eagle-rock-apartments-at-carle-place-carle-place-ny-primary-photo.jpg'],True
f4y9g9t,https://www.apartments.com/fairfield-manor-at-douglaston-douglaston-ny/f4y9g9t/,Fairfield Manor At Douglaston,"&nbsp;Fairfield Manor At Douglaston. A Fairfield Properties a five-star Manhattan style high-rise at Douglaston. Queens, New York. Lobby with intercom, elevator. 20 minutes to NYC.Luxurious -studio, -1 bedroom, -2 bedroom residences. Granite kitchen and bath. Granite countertops, backsplash, flooring. Cherry cabinets, undermount lighting, Stainless steel appliances,&nbsp; hardwood floors, gray paint, AC, high-hat lights, ceiling fans, window treatments, stackable non-vented washer/dryer.&nbsp;",ApartmentComplex,43 - 60 Douglaston Pky,Douglaston,11363,40.76642,-73.74617,"$1,795-$3,095",Studio - 2 bd,1 - 2 ba,"444 - 1,131 sq ft","Ample Closet Space With Wire Shelving,Floating Vanity Sink,Granite Countertops,Granite Vanitytop,In Lovely Douglaston Manor Location",+1-516-619-2637,['https://images1.apartments.com/i2/5QaIWCaawoE5onSBbErVdCIiPUc9SfG-jljO6U0SDT0/110/fairfield-manor-at-douglaston-douglaston-ny-primary-photo.jpg'],True
mtnv7vh,https://www.apartments.com/maple-crest-valley-stream-valley-stream-ny/mtnv7vh/,Maple Crest Valley Stream,"INCOME/CREDIT SCORE REQUIREMENTS - MAX OCCUPANCY:

STUDIO: $55,000/YR SINGLE OR COUPLE - MAX OCCUPANTS 2 - CREDIT SCORE MINIMUM 650

ONE BR: $60,000/YR SINGLE OR COUPLE - MAX OCCUPANTS 3 - CREDIT SCORE MINIMUM 650

JR TWO BR: $65,000/YR SINGLE OR COUPLE - MAX OCCUPANTS 3 - CREDIT SCORE MINIMUM 650

TWO BR: $70,000/YR SINGLE OR COUPLE - MAX OCCUPANTS 4 - CREDIT SCORE MINIMUM 650

ONE CO-SIGNER ONLY: $70,000 YR - CREDIT SCORE MINIMUM 700 

ALL CREDIT INQUIRIES ARE DONE THROUGH (EQUIFAX and AMERUSA)",ApartmentComplex,780-800 Rockaway Ave,Valley Stream,11581,40.6542,-73.69809,"$1,870-$1,920",1 - 2 bd,1 ba,640 sq ft,,+1-516-855-5263,['https://images1.apartments.com/i2/yv8uD9bwGqx_eQVywYHcTeu1-Rxg_wTK9a4sGGB4rKc/110/maple-crest-valley-stream-valley-stream-ny-primary-photo.jpg'],True
g25c8fy,https://www.apartments.com/fairfield-at-valley-stream-valley-stream-ny/g25c8fy/,Fairfield At Valley Stream,"Great NASSAU COUNTY location! Tuscany-style kitchen cabinets with Stainless Steel Appliances! Heat and hot water included!Lovely private entry, two bedroom apartments with newly renovated kitchen and bath, some with Granite and Tuscany-style. Some residences with wall-to-wall carpeting. Each include window treatments, dishwasher and microwave. On-site Laundry Center. Separate garage spaces-ask about availability. Near Long Island Railroad for a quick commute to New York City!&nbsp;",ApartmentComplex,64 Gibson Blvd,Valley Stream,11581,40.65209,-73.70152,"$2,815-$2,935",2 bd,1 ba,500 sq ft,"Ceramic Tile Bath Flooring,Eat-In Kitchen,Some with Vertical Window Treatments,Stove With Self-Cleaning Oven,Some with Ceramic Tile Kitchen Floor",+1-516-518-2706,['https://images1.apartments.com/i2/bzENrws9XJP-AfXXVywtf33msWopDe0WvV4Na0klGZ4/110/fairfield-at-valley-stream-valley-stream-ny-primary-photo.jpg'],
t8zl25c,https://www.apartments.com/fairfield-at-west-hempstead-west-hempstead-ny/t8zl25c/,Fairfield At West Hempstead,Charming building in a convenient location. Nassau County. Near shopping and parks.,ApartmentComplex,26 Stratford Rd,West Hempstead,11552,40.70563,-73.64046,"$2,455-$2,960",1 - 2 bd,1 ba,999 sq ft,,+1-516-518-7466,['https://images1.apartments.com/i2/OIkclU2EN10sgATWLsTl9RdI_CLku2CV6LbGR4R5PTM/110/fairfield-at-west-hempstead-west-hempstead-ny-primary-photo.jpg'],
c5bppge,https://www.apartments.com/137-22-bedell-st-queens-ny/c5bppge/,"137-22 Bedell St Queens, NY 11413","THIS IS A MASSIVE APARTMENT This is a massive three bedroom in a beautiful house. Do you want space? You've got it.The entire apartment has been recently and meticulously renovated with the you in mind. Brand new hardwood floors, dishwasher, stainless steel appliances, A/C in every room, a beautiful bathroom and so much more.The kitchen is brand new and has stainless steel appliances. Has a massive dishwasher, and so much space. The beautiful marble countertops and almost endless cabinet space makes this a kitchen that will service all of your cooking needs.The living space is massive and will more than fit all of your furniture and allows for entertaining your loved ones and friends.Each of the bedrooms are very big and all have an A/C unit that is independent of the other ones. All of the bedroom have big windows that let in a lot of sunlight.Did I even mention location yet? Quiet street. Laundry and food are very close. JFK is so easy to et to. Its the perfect place to live.Showings are by appointment only and are first come, first servedCall or email at your earliest convenience for a showingAvailable for immediate move in",SingleFamilyResidence,137-22 Bedell St,Queens,11413,40.67314,-73.76328,"$3,000-$3,000",3 bd,1 ba,,,+1-973-572-3298,['https://images1.apartments.com/i2/QQemFB9Mpyo4Bxkyswh1jbu7A6A4jobLNMIEC0bzxoE/110/137-22-bedell-st-queens-ny-primary-photo.jpg'],False
x9chf6q,https://www.apartments.com/225-1st-st-mineola-ny/x9chf6q/,"225 1st St Mineola, NY 11501","Located in the historic village of Mineola, steps from downtown. Surrounded by highly sought-after restaurants, supermarkets, bars, and clothing boutiques. (15% brokers fee applies)- 2 bedroom unit with 1 bathroom and a spacious kitchen / building laundry- New cabinetry, hardwood floors with modern stainless steel appliances- Steps from LIRR / Hospital- Super on-site- Dedicated off street parking spot- Mineola Schools- Move in ready, contact me asap for an appointment, these won't last!",ApartmentComplex,225 1st St,Mineola,11501,40.74185,-73.64137,"$2,731-$2,731",2 bd,1 ba,,,+1-646-662-0161,['https://images1.apartments.com/i2/Aa7nyJmQjzREkGlNpl3BwLNQM_RQoLers4YHVAg8Ht0/110/225-1st-st-mineola-ny-primary-photo.jpg'],False
433l4th,https://www.apartments.com/225-1st-st-mineola-ny/433l4th/,"225 1st St Mineola, NY 11501","Located in the historic village of Mineola Long Island, steps from downtown. Surrounded by highly sought-after restaurants, supermarkets, bars, and clothing boutiques. (15% brokers fee applies)- 2 bedroom unit with 2 bathrooms and a spacious kitchen, balcony & building laundry- New cabinetry, hardwood floors with modern stainless steel appliances- Steps from LIRR / Nearby Hospital- Super on-site- Dedicated off street parking spot- Mineola School District- Move in ready, contact me asap for an appointment, these won't last!",ApartmentComplex,225 1st St,Mineola,11501,40.74185,-73.64137,"$2,912-$2,912",2 bd,2 ba,,,+1-646-662-0161,['https://images1.apartments.com/i2/ZoBh42kcLVYvFyrOt5beQS0xg8WR_-OZWlvONXxiP18/110/225-1st-st-mineola-ny-primary-photo.jpg'],False
l6l5pfe,https://www.apartments.com/92-11-92190-190th-st-queens-ny-unit-apt-1/l6l5pfe/,"92-11-92190 190th St Queens, NY 11423","Property Id: 1241144

Open house 10/14/2023 10am-1 pm 
$300 upon fully executed lease signing loaded onto gift card occupancy by 10/15/2023 call for details. 

This must see warm and cozy rental features a huge Master suite with a full Bath huge walk in closet 2 more large bedrooms full bath, formal living room/dinning room eat in kitchen apartment comes with back yard access good credit NTN and references are mandatory call Gina for more info or to schedule a tour  
Coldwell banker American homes",ApartmentComplex,92-11-92190 190th St,Queens,11423,40.71147,-73.76909,"$2,700-$2,700",3 bd,2 ba,,,+1-516-789-7064,['https://images1.apartments.com/i2/xvPn7bGOuTX5gccmqAA8nUdNnAZ5lw8N99qkxRbdHMI/110/92-11-92190-190th-st-unit-apt-1-queens-ny-primary-photo.jpg'],True
nckj32m,https://www.apartments.com/39-35-corporal-kennedy-st-queens-ny-unit-2/nckj32m/,"39- 35 Corporal Kennedy St Queens, NY 11361","Property Id: 590390

Comfortable, quiet and safe home in Bayside. 
2nd floor apartment of a 2-family house. 
3 bedrooms, 2 bathrooms. High ceilings. 
All rooms have wall unit air conditioners. 
Large attic space for storage. 
Balcony outside the living room. 

Very convenient location. 
Short walk to LIRR (~30 minutes to Penn Station). 
Close to Northern Blvd and Bell Blvd (many buses available). 
Proof of income and credit required. 

This is a non-smoking home.  
This home does not allow pets. 
This home has a dishwasher.
There is no washer / dryer for clothing. 
There is no driveway parking.
Tenant pays utilities.

No broker fee. 
Call for more info: .",ApartmentComplex,39- 35 Corporal Kennedy St,Queens,11361,40.76304,-73.77563,"$2,950-$2,950",3 bd,2 ba,"1,150 sq ft",,+1-347-276-5249,['https://images1.apartments.com/i2/hde2H8g0ozZ92fZZePAQzsHAuM-yETwCZLBemOG8jgE/110/39--35-corporal-kennedy-st-unit-2-queens-ny-primary-photo.jpg'],False
